Discount, Price After Discount
0.05,698.079
0.0,115.9
0.05,1261.771
0.060000000000000005,130.54719999999998
0.035,1829.68825
0.05,2117.151
0.045,106.20554999999999
0.07500000000000001,2036.15625
0.115,680.3879999999999
0.07500000000000001,3005.5192500000003
0.0,250.76
0.025,1608.4575
0.08,839.2608
0.05,188.2425
0.035,2496.9954
0.0,38.62
0.035,2813.5926
0.07500000000000001,3067.9012500000003
0.05,549.6510000000001
0.15,795.022
0.05,2934.2079999999996
0.025,717.53175
0.095,124.99860000000001
0.025,277.8165
0.1,711.504
0.05,2893.168
0.14500000000000002,348.6861
0.060000000000000005,698.3448
0.18,85.06680000000001
0.025,285.3045
0.125,1.6275000000000002
0.155,477.97425
0.05,417.9525
0.07500000000000001,3465.3182500000003
0.07500000000000001,1896.324
0.0,64.32
0.060000000000000005,2301.9941999999996
0.10500000000000001,183.6361
0.035,1091.7431000000001
0.025,117.663
0.060000000000000005,2399.7072
0.05,1580.1919999999998
0.060000000000000005,636.4175999999999
0.165,1449.0256
0.05,149.90999999999997
0.060000000000000005,2639.52
0.08499999999999999,1569.9936000000002
0.025,763.2299999999999
0.05,74.87899999999999
0.025,1617.18375
0.0,501.65999999999997
0.025,129.2265
0.025,816.309
0.05,1296.009
0.035,658.6125
0.07500000000000001,927.6825
0.06,290.4788
0.155,649.7712
0.1,179.01000000000002
0.05,172.96650000000002
0.05,946.5799999999999
0.16999999999999998,841.2880000000001
0.0,427.04999999999995
0.165,375.04859999999996
0.0,49.26
0.0,213.45000000000002
0.025,532.662
0.035,1801.7515
0.10500000000000001,2545.62165
0.05,1346.7675
0.145,426.2517
0.025,1649.8755
0.035,2638.9662
0.07500000000000001,3013.6962500000004
0.025,85.8975
0.030000000000000002,288.8272
0.105,233.73820000000003
0.09,2401.1988
0.05,1003.0289999999999
0.18,866.986
0.16,1013.7455999999999
0.025,504.94275
0.035,1419.6308
0.035,86.43504999999999
0.05,344.8025
0.07500000000000001,1643.836
0.035,2440.8324000000002
0.08,3230.1292000000003
0.025,976.8915000000001
0.025,472.446
0.155,1819.88495
0.105,635.7006
0.18,1731.4136
0.05,1175.0549999999998
0.025,11.495249999999999
0.16,405.72839999999997
0.095,406.26355
0.175,1607.5124999999998
0.05,2654.9175
0.060000000000000005,2372.748
0.05,2235.6445
0.0,744.35
0.025,942.552
0.025,1343.2185
0.0,72.81
0.060000000000000005,734.4596
0.05,296.02
0.060000000000000005,92.9472
0.05,794.5515
0.05,1470.258
0.05,2814.66
0.060000000000000005,88.8864
0.085,333.06
0.095,106.3737
0.05,1557.8955
0.060000000000000005,1222.9399999999998
0.025,32.9355
0.05,2527.2374999999997
0.09,64.9376
0.060000000000000005,1770.4148
0.3,2501.6179999999995
0.060000000000000005,2291.0244000000002
0.16,1724.9399999999998
0.060000000000000005,2005.4242000000002
0.060000000000000005,1908.247
0.065,2701.20565
0.05500000000000001,1896.15195
0.05,728.175
0.05,1201.94
0.025,707.499
0.07500000000000001,2301.8625
0.15,160.361
0.165,1334.70575
0.025,441.48
0.025,809.6692499999999
0.060000000000000005,2373.2462
0.07500000000000001,1262.9025
0.165,531.93675
0.065,552.68785
0.035,1935.9444
0.3,1862.3359999999998
0.05,614.308
0.07500000000000001,3021.9750000000004
0.05,1557.031
0.025,578.175
0.12000000000000001,710.6528
0.055,34.7382
0.05,253.897
0.05,328.662
0.09,1275.6198
0.035,2267.75
0.060000000000000005,1094.9119999999998
0.12,42.108000000000004
0.0,64.88
0.035,2185.918
0.060000000000000005,1275.2979999999998
0.16,1934.6544
0.05,533.6909999999999
0.10500000000000001,807.0036000000001
0.060000000000000005,670.1354
0.025,487.2465
0.025,241.332
0.025,586.0139999999999
0.125,3680.3724999999995
0.035,1470.8916
0.07500000000000001,3604.0127500000003
0.030000000000000002,198.1807
0.0,289.08
0.035,548.6410999999999
0.05,157.7
0.060000000000000005,2998.1112
0.035,531.78255
0.035,1168.036
0.17500000000000002,483.69750000000005
0.07500000000000001,648.24
0.25,343.1700000000001
0.025,394.24125000000004
0.3,2376.8849999999998
0.075,175.33375
0.05,23.3985
0.060000000000000005,3020.6148
0.335,1708.1057
0.14,902.3893999999999
0.060000000000000005,1086.8279999999997
0.07500000000000001,953.2125000000001
0.025,21.6255
0.025,773.69175
0.035,923.505
0.060000000000000005,2259.0455999999995
0.085,569.7705000000001
0.07500000000000001,3885.17575
0.05,1684.8629999999998
0.025,1199.4937499999999
0.3,672.0
0.065,2641.1693000000005
0.07500000000000001,1752.2737500000003
0.025,94.76999999999998
0.060000000000000005,1226.3803999999998
0.025,81.37349999999999
0.045,1263.1211999999998
0.025,5.654999999999999
0.11000000000000001,483.6616000000001
0.05,1162.819
0.36,1817.3952
0.0,974.35
0.13,1114.3482
0.11,2033.7567999999999
0.14500000000000002,53.694
0.05,658.92
0.16999999999999998,178.74880000000002
0.165,763.7912
0.035,2538.529
0.060000000000000005,1157.798
0.05,2630.9964999999997
0.02,672.7308
0.075,807.7470000000001
0.05,151.75300000000001
0.05,3003.064
0.035,1969.43955
0.14500000000000002,1988.388
0.035,195.2388
0.07500000000000001,394.05
0.07,49.550399999999996
0.060000000000000005,2041.9619999999995
0.05,1326.2759999999998
0.05,504.07
0.15,1496.493
0.185,401.632
0.085,1881.2034
0.0,434.58000000000004
0.035,2438.6225499999996
0.05,737.8649999999999
0.05,724.812
0.07500000000000001,2463.7560000000003
0.060000000000000005,1670.192
0.07500000000000001,57.8865
0.07500000000000001,2921.3812500000004
0.0,311.73
0.07,481.5539999999999
0.025,36.777
0.0,561.9000000000001
0.14500000000000002,1084.2255
0.0,531.12
0.035,1193.4733999999999
0.060000000000000005,1826.2789999999998
0.060000000000000005,1263.0592
0.05,445.36
0.07500000000000001,762.2
0.07500000000000001,240.2225
